web-scraper-order,web-scraper-start-url,products,products-href,enter,enter-href,image-src,features,specs
"1649630924-1713","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M12™ Mounting Fan (0820-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0820-20","/-/media/Products/Power-Tools/Cordless/Vacuums/0820/0820-20_2.png?mw=520&mh=520&hash=967100496648E883921808FBCFEF5A4E","2"" Spring-Loaded Base Clamp",""
"1649630839-1110","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Floor Utility Nozzle (49-90-2009) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2009","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2009_2.png?mw=520&mh=520&hash=A48CAE125B91317A34550DFB7A75E198","Optimized for use on hard surfaces",""
"1649630861-1247","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 4-1/2"" / 5"" Variable Speed Braking Grinder, Paddle Switch No-Lock (2888-20) 4.8 out of 5 stars. 5 reviews  + Quick View","https://www.milwaukeetool.com/Products/2888-20","/-/media/Products/Power-Tools/Cordless/Grinders/2888/2888-20_1.png?mw=520&mh=520&hash=0105C5AE6BDBD15617F05A361B557290","","Cordless"
"1649630897-1523","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 1"" SDS Plus Rotary Hammer w/ ONE-KEY™ Dust Extractor Kit (2914-22DE) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2914-22DE","/-/media/Products/Power-Tools/Cordless/Rotary-and-Demolition-Hammers/2914/2914-22DE_3.png?mw=520&mh=520&hash=EBB96CE96F84A1F6D3B61BE7230D938B","","Length"
"1649630885-1426","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      Wet/Dry Vacuum Cart (0923-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0923-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0923-20_1.png?mw=520&mh=520&hash=330AABAD2FD0C4CD49227E7188DAA477","","No Warranty"
"1649630851-1178","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Extension Wand (49-90-2007) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2007","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2007_1.png?mw=520&mh=520&hash=3722D85386539C1A6200D1AE74AD8DCC","Compatible with other 2-1/2"" diameter vacuum hoses",""
"1649630894-1488","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M12™ AIR-TIP™ Utility Nozzle (0980-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0980-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0980-20_2.png?mw=520&mh=520&hash=6F28E7D76C94C8D0F1AA8C37D54BEAD9","","Product Specifications"
"1649630821-1014","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      Fleece Dust Bags (5PK) - 12 Gallon (49-90-1999) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-1999","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-1999_2.png?mw=520&mh=520&hash=6EF4AC1DEA93A08F165268CBECB6ECDA","","0.357 lbs"
"1649630839-1118","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Floor Utility Nozzle (49-90-2009) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2009","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2009_2.png?mw=520&mh=520&hash=A48CAE125B91317A34550DFB7A75E198","","Width"
"1649630906-1600","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ 15mm Random Orbital Polisher (2684-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2684-20","/-/media/Products/Power-Tools/Cordless/Sanders-and-Polishers/2684/2684-20_1.png?mw=520&mh=520&hash=F70E9B6A815E6D1B3E29F3ECE5CBCA18","Ergonomic design for greater user comfort and portability",""
